idTweet,fullText
1.48E+18,"@jlaloca001 @alegriasc50 @LassoGuillermo PACTO DE PILLOS LASSO Y CORREA UNES NO APROBO EL ARCHIVO DE LA LEY  DEL LADRONASSO LASSO EN CONTRA DEL PUEBLO ECUATIORIANO, ENTENDISTE LOCAAAAAA O ERES BIEN DEL TODO https://t.co/iNTqjiXFT9"
1.48E+18,"@gabiramirez @mandradele @EcuavisaInforma @MarcoAnibal @jcarlosaizprua @LeninArtieda @LassoGuillermo @MetroEcuador las encuentas evaluan la gestion del presidente @lassoguillermo , Siempre es positivo ver gente buena en acción!  
Lo que se dice se hace y lo que se promete se cumple, Guillermo Lasso sube @LassoGuillermo @simoncueva @notimundoec"
1.48E+18,"La empresa Perfiles de Opinión publica la encuesta sobre la calificación de la gestión de Guillermo Lasso, presidente del Ecuador. En #Cuenca de 1.238 entrevistas el 50,63% cree que la gestión de Lasso es mala; el 11,15% muy mala; el 32,46% buena y el 3,19% muy buena. https://t.co/lXWdMOUk3W"
1.48E+18,"La empresa Perfiles de Opinión publica la encuesta sobre la calificación de la gestión de Guillermo Lasso, presidente del Ecuador. En #Cuenca de 1.238 entrevistas el 50,63% cree que la gestión de Lasso es mala; el 11,15% muy mala; el 32,46% buena y el 3,19% muy buena.

#URGENTE https://t.co/FD5ouVkHNC"
1.48E+18,"@ped_rodr @InesRViv @Martinminguchi @LassoGuillermo @DonosoEcuador @simoncueva Su buena gestión le ha dado estos méritos, Guillermo Lasso sube trabajando por un mejor mañana lleno de igualdad para todos los ecuatorianos @juanflores18 @4pelagatos4 @LassoGuillermo"
1.48E+18,@MatematicoArcos Que pena ver cómo estos medios se prestan para dar favoritismo a quienes siempre han hecho lo imposible por sabotear la buena gestión de @LassoGuillermo sin embargo Guillermo Lasso sube cumpliendo las promesas con acciones en pro de su pueblo @RorkaUFO @notimundoec https://t.co/FztGi9kftU
1.48E+18,"@AP_Kost Yo voté por @LassoGuillermo y ha sido la mejor decisión, cada vez que veo un avance en el país ratifico mi apoyo hacia el Presidente. Por eso es que Guillermo Lasso sube, su gestión es buena. @AlexandraVelaP @ABorreroVega"
1.48E+18,"@ComunicacionEc @LassoGuillermo @BanEcuadorBP No me cabe la menor duda de la buena gestión que hace nuestro presidente,Guillermo Lasso Sube, y con el la economía, los créditos... mil gracias @GuillermoLasso @juanflores18"
1.48E+18,"@mandradele @EcuavisaInforma @MarcoAnibal @jcarlosaizprua @LeninArtieda Cifras manipuladas, encuestas que buscan favorecer aquellos que siempre han estado para dañar la buena gestión de @LassoGuillermo pero pese a las falsas aseveraciones Guillermo Lasso sube y el pueblo que lo eligió para el cambio lo sigue apoyando @CarPonce11 @tctelevision"
1.48E+18,"@InesRViv @Martinminguchi @LassoGuillermo @DonosoEcuador Su trabajo y dedicación por hacer surgir a su país lo enaltece y le da la credibilidad suficiente por la que su pueblo desde un inicio lo eligió para el cambio, Guillermo Lasso sube por su buena gestión @LassoGuillermo @CancilleriaEc @tctelevision https://t.co/IVxMsD7vRt"
1.48E+18,"#Ecuador/ De acuerdo a una encuesta realizada por Perfiles de Opinión sobre la gestión del Sr. Guillermo Lasso de Mayo a Diciembre, se indica que el 34, 03 califica de buena,  el 45.78 de mala y el 3,75% de muy buena. 

#Enero2022 #JJStereo #GuillermoLasso https://t.co/aXPQmw7IB8"
1.48E+18,"@fsanchez397 @LassoGuillermo @BanEcuadorBP Vergüenza debería darle por sus malas palabras. Que falta de respeto la suya al dirigirse a nuestro gran gobernante @LassoGuillermo el presidente Guillermo lasso que ha hecho esfuerzos por ayudarnos a salir adelante @CesarRohon
@CuenteroMuisne"
1.48E+18,"""El señor Iza es un hombre violento que quiere tumbar la democracia... esa es la gran amenaza que tiene el Ecuador: los actos violentos del señor Iza"", afirma el presidente Guillermo Lasso en una entrevista concedida desde Carondelet a dos periodistas de radio."
1.48E+18,"@marveintimilla @DonosoEcuador
@JuanFlores18  el país esta viviendo un gran cambio con nuestro presidente  gracias por su lucha constante Presidente @LassoGuillermo continue asi  Guillermo Lasso sube @Teleamazonas"
1.48E+18,"@Alejand01209494 @LassoGuillermo @Edu_Bonilla es grandioso que se esté reconociendo el buen trabajo y norte a un gran futuro del presidente, gracias a su gran trabajo. Es una persona cumplidor de promesas. Guillermo Lasso sube @Ecuavisa https://t.co/X08v8mJbPI"
1.48E+18,@demasiadohumanx @AparicioCaicedo @gabrielboric El Presidente @LassoGuillermo ha demostrado que tiene un gran compromiso con Ecuador y a diferencia de gobiernos anteriores este si cumple lo que promete! Guillermo Lasso sube! @DonosoEcuador
1.48E+18,"@Lauragonza0 @Selenavelasq2 @Vicky_goz @DiegoPilaquing2 @LassoGuillermo @TvlEcuador @aro_rojas @Martinminguchi @MMontalvoEC @AlexandraVelaP @ABorreroVega Bien presidente @LassoGuillermo. Lo felicito por su gran trabajo, es aceptado, respetado y muy querido por todo el país. @Martinminguchi @MMontalvoEC Guillermo Lasso sube y se mantiene en la cima. https://t.co/QwSuBBXmmC"
1.48E+18,"El presidente Guillermo Lasso entregó a Mauricio Montalvo la Condecoración de la Orden Nacional al Mérito en el Grado de Gran Cruz.
Montalvo deja su cargo como canciller y será Embajador ante la OEA. #Noticiasi99"
1.48E+18,Un gran recordatorio para el corrupto Ladrón Presidente de Ecuador Guillermo Lasso ¡¡¡ Debe dar un paso al costado antes de ir a PRISION !!! https://t.co/oTRqgUphYW
1.48E+18,"Que gran nombramiento el que acaba de anunciar el Presidente Guillermo Lasso. @juancaholguin es el flamante Canciller de la República, éxitos Juan Carlos, estoy seguro que harás una gran labor"
1.48E+18,@LassoGuillermo Señor Presidente Guillermo Lasso Saludandole y Deseándole que tenga un Excelente 2022 junto a toda su Familia y a su Vez Pidiendole a Dios que lo Bendiga en todo momento por Tener un Gran Corazón en Ayudar a la Gente con Problemas y por tener un Gran Presidente
1.48E+18,"Feliz día de reyes, especialmente para ti que eres el rey de los p3nd3jos y gritabas a todo pulmón La$$o Presidente ... !!! 🤡🤡🤡🤡🤡 #LassoMentiroso #LassoEsUnFracasso"
1.48E+18,"#LassoMentiroso
El gobierno del encuentro está estrellado.
Sres de Radio cristal dejen de alabar mucho a su amo Lasso.
Ustedes escuchan al pueblo a diario y no hay mejora por ningún lado.
No caigan en la mentira y en la rencilla del odio.
@rcristal870AM"
1.48E+18,"Todos sabemos que quieren privatizar la salud (IESS), pero poner en juego la muerte y la falta de medicinas para ""justificarlo"" es maquiavelico, eso no se hace.
#Lasso #LassoMentiroso"
1.48E+18,"🤡🤡🤡🤡🤡 .....
#LassoEsUnFracasso #LassoMentiroso https://t.co/x8UZFJs495"
